time="2023-06-28T00:08:28+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:09:02+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:09:02+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:09:04+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:09:22+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:09:22+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:09:23+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:12:20+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:12:20+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:12:22+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:13:35+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:13:35+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:13:47+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:14:12+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:14:12+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:14:16+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:15:40+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:15:40+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:15:43+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:16:54+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
